Process,"Insp. Date",PN,LN,Item,Avg,Max,Min,Range,Std.,CPK,Emp#,MC#,Material,M.LN,LSL,CSL,USL,XCL,XUCL,XLCL,RUCL
"Glass Printing",08/01/2024,500917,23Z034-2,"Glass Thickness 1",.052,.055,.048,.007,.002,1.89,S2861,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",08/01/2024,500917,23Z034-2,"Glass Thickness 1",.052,.055,.048,.007,.002,1.89,S2861,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",08/01/2024,501186,23Z007-2,"Glass Thickness 1",.045,.047,.044,.003,.001,4.49,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,501186,23Z007-2,"Glass Thickness 1",.045,.047,.044,.003,.001,4.49,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,501243,23Z200-1,"Glass Thickness 1",.046,.048,.044,.004,.001,3.47,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,501243,23Z200-1,"Glass Thickness 1",.046,.048,.044,.004,.001,3.47,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,500917,23Z034-1,"Glass Thickness 1",.052,.054,.049,.006,.002,2.82,S2861,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",08/01/2024,500917,23Z034-1,"Glass Thickness 1",.052,.054,.049,.006,.002,2.82,S2861,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",08/01/2024,501186,23Z006-2,"Glass Thickness 1",.045,.049,.042,.007,.002,2.23,S1635,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,501186,23Z006-2,"Glass Thickness 1",.045,.049,.042,.007,.002,2.23,S1635,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,501243,23Z198-2,"Glass Thickness 1",.045,.048,.044,.004,.001,3.37,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,501243,23Z198-2,"Glass Thickness 1",.045,.048,.044,.004,.001,3.37,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,501243,23Z198-2,"Glass Thickness 2",.085,.087,.082,.005,.002,2.64,S3350,"A 1",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",08/01/2024,501243,23Z198-2,"Glass Thickness 2",.085,.087,.082,.005,.002,2.64,S3350,"A 1",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",08/01/2024,501243,23Z198-2,"Pull Back",.003,.010,.000,.010,.004,.19,S3350,"A 1",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",08/01/2024,501243,23Z198-2,"Pull Back",.003,.010,.000,.010,.004,.19,S3350,"A 1",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",08/01/2024,501243,23Z198-2,"Pull Back",.003,.010,.000,.010,.004,.19,S3350,"A 1",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",08/01/2024,501243,23Z199-0,"Glass Thickness 1",.048,.050,.046,.004,.001,3.10,S2897,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,501243,23Z199-0,"Glass Thickness 1",.048,.050,.046,.004,.001,3.10,S2897,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,500924,23Y002-0,"Glass Thickness 2",.086,.090,.082,.008,.002,1.79,S3046,"CC 3",LS-1320,2302171,.073,.088,.103,.088,.093,.083,.026
"Glass Printing",08/01/2024,500924,23Y002-0,"Glass Thickness 2",.086,.090,.082,.008,.002,1.79,S3046,"CC 3",LS-1320,2302171,.073,.088,.103,.088,.093,.083,.026
"Glass Printing",08/01/2024,500924,23Y002-0,"Glass Thickness 1",.054,.060,.052,.008,.002,1.49,S3046,"CC 3",LS-1320,2302171,.035,.050,.065,.050,.060,.040,.015
"Glass Printing",08/01/2024,500924,23Y002-0,"Glass Thickness 1",.054,.060,.052,.008,.002,1.49,S3046,"CC 3",LS-1320,2302171,.035,.050,.065,.050,.060,.040,.015
"Glass Printing",08/01/2024,501075,23Z065-0,"Glass Thickness 1",.049,.052,.045,.007,.002,1.67,S2920,"CC 13",LS-1320/MK,2309221,.032,.045,.059,.045,.050,.040,.014
"Glass Printing",08/01/2024,501075,23Z065-0,"Glass Thickness 1",.049,.052,.045,.007,.002,1.67,S2920,"CC 13",LS-1320/MK,2309221,.032,.045,.059,.045,.050,.040,.014
"Glass Printing",08/01/2024,501243,23Z198-1,"Glass Thickness 1",.047,.051,.045,.007,.002,2.12,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,501243,23Z198-1,"Glass Thickness 1",.047,.051,.045,.007,.002,2.12,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,501243,23Z198-1,"Glass Thickness 2",.086,.093,.081,.012,.004,1.38,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",08/01/2024,501243,23Z198-1,"Glass Thickness 2",.086,.093,.081,.012,.004,1.38,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",08/01/2024,501243,23Z198-1,"Glass Thickness 2",.086,.093,.081,.012,.004,1.38,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",08/01/2024,501243,23Z198-1,"Pull Back",.005,.013,.000,.013,.005,.30,S3064,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",08/01/2024,501243,23Z198-1,"Pull Back",.005,.013,.000,.013,.005,.30,S3064,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",08/01/2024,501243,23Z197-2,"Glass Thickness 1",.047,.049,.046,.003,.001,4.87,S2897,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,501243,23Z197-2,"Glass Thickness 1",.047,.049,.046,.003,.001,4.87,S2897,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,501243,23Z197-2,"Glass Thickness 2",.084,.091,.078,.012,.003,1.24,S2897,"CC 10",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",08/01/2024,501243,23Z197-2,"Glass Thickness 2",.084,.091,.078,.012,.003,1.24,S2897,"CC 10",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",08/01/2024,501243,23Z197-2,"Pull Back",.007,.014,.000,.014,.005,.45,S2897,"CC 10",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",08/01/2024,501243,23Z197-2,"Pull Back",.007,.014,.000,.014,.005,.45,S2897,"CC 10",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",08/01/2024,501243,23Z197-1,"Glass Thickness 1",.048,.049,.046,.003,.001,4.67,S2897,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,501243,23Z197-1,"Glass Thickness 1",.048,.049,.046,.003,.001,4.67,S2897,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,501243,23Z197-1,"Glass Thickness 2",.085,.095,.072,.024,.006,.77,S2897,"CC 10",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",08/01/2024,501243,23Z197-1,"Glass Thickness 2",.085,.095,.072,.024,.006,.77,S2897,"CC 10",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",08/01/2024,501243,23Z197-1,"Pull Back",.004,.008,.000,.008,.003,.45,S2897,"CC 10",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",08/01/2024,501243,23Z197-1,"Pull Back",.004,.008,.000,.008,.003,.45,S2897,"CC 10",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",08/01/2024,501243,23Z196-2,"Glass Thickness 2",.090,.095,.085,.010,.003,1.56,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",08/01/2024,501243,23Z196-2,"Glass Thickness 2",.090,.095,.085,.010,.003,1.56,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",08/01/2024,501243,23Z196-2,"Pull Back",.008,.019,.000,.019,.007,.38,S3064,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",08/01/2024,501243,23Z196-2,"Pull Back",.008,.019,.000,.019,.007,.38,S3064,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",08/01/2024,501243,23Z196-2,"Glass Thickness 1",.046,.048,.044,.004,.002,2.82,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,500924,23Z017-1,"Glass Thickness 1",.056,.064,.051,.013,.004,.76,S3046,"CC 3",LS-1320,2,.035,.050,.065,.050,.060,.040,.015
"Glass Printing",08/01/2024,500924,23Z017-1,"Glass Thickness 2",.085,.090,.079,.011,.003,1.17,S3046,"CC 3",LS-1320,2,.073,.088,.103,.088,.093,.083,.026
"Glass Printing",08/01/2024,500924,23Z017-1,"Glass Thickness 2",.085,.090,.079,.011,.003,1.17,S3046,"CC 3",LS-1320,2,.073,.088,.103,.088,.093,.083,.026
"Glass Printing",08/01/2024,500924,23Z017-1,"Glass Thickness 3",.142,.150,.140,.010,.003,4.14,S3046,"CC 3",LS-1320,2,.105,.150,.195,.150,.160,.140,.045
"Glass Printing",08/01/2024,500924,23Z017-1,"Glass Thickness 3",.142,.150,.140,.010,.003,4.14,S3046,"CC 3",LS-1320,2,.105,.150,.195,.150,.160,.140,.045
"Glass Printing",08/01/2024,501186,23Z007-1,"Glass Thickness 2",.084,.087,.081,.005,.002,2.52,S3350,"A 1",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",08/01/2024,501186,23Z007-1,"Glass Thickness 2",.084,.087,.081,.005,.002,2.52,S3350,"A 1",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",08/01/2024,501186,23Z007-1,"Glass Thickness 1",.047,.050,.045,.006,.002,2.46,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08/01/2024,500917,23Z033-2,"Glass Thickness 1",.052,.056,.050,.006,.002,2.06,S2861,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",08/01/2024,500917,23Z033-2,"Glass Thickness 2",.107,.124,.098,.026,.009,.63,S2861,"CC 9",LS-1320,2302171,.090,.110,.130,.108,.120,.097,.044
"Glass Printing",08/01/2024,500917,23Z033-2,"Glass Thickness 2",.107,.124,.098,.026,.009,.63,S2861,"CC 9",LS-1320,2302171,.090,.110,.130,.108,.120,.097,.044
"Glass Printing",08/01/2024,501075,23Z064-0,"Glass Thickness 2",.078,.084,.073,.011,.004,1.41,S2920,"CC 13",LS-1320/MK,2309221,.055,.075,.095,.073,.085,.061,.031
"Glass Printing",08/01/2024,501075,23Z064-0,"Glass Thickness 2",.078,.084,.073,.011,.004,1.41,S2920,"CC 13",LS-1320/MK,2309221,.055,.075,.095,.073,.085,.061,.031
"Glass Printing",08/01/2024,501075,23Z064-0,"Glass Thickness 1",.049,.052,.046,.006,.002,2.08,S2920,"CC 13",LS-1320/MK,2309221,.032,.045,.059,.045,.050,.040,.014
"Glass Printing",08/01/2024,501243,23Z195-2,"Glass Thickness 2",.088,.094,.084,.009,.003,1.64,S2897,"CC 10",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",08/01/2024,501243,23Z195-2,"Glass Thickness 2",.088,.094,.084,.009,.003,1.64,S2897,"CC 10",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",08/01/2024,501243,23Z195-2,"Pull Back",.004,.013,.000,.013,.005,.23,S2897,"CC 10",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",08/01/2024,501243,23Z195-2,"Pull Back",.004,.013,.000,.013,.005,.23,S2897,"CC 10",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",08/01/2024,501243,23Z195-2,"Glass Thickness 1",.048,.050,.047,.003,.001,3.50,S2897,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",06/01/2024,501243,23Z196-1,"Glass Thickness 1",.046,.048,.043,.005,.002,2.88,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",06/01/2024,501243,23Z196-1,"Glass Thickness 2",.084,.091,.079,.012,.004,1.06,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",06/01/2024,501243,23Z196-1,"Glass Thickness 2",.084,.091,.079,.012,.004,1.06,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",06/01/2024,501243,23Z196-1,"Pull Back",.010,.021,.000,.021,.007,.45,S3064,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",06/01/2024,501243,23Z196-1,"Pull Back",.010,.021,.000,.021,.007,.45,S3064,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",06/01/2024,501243,23Z195-1,"Glass Thickness 1",.044,.047,.042,.006,.002,2.55,S3046,"CC 5",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",06/01/2024,500917,23Z033-1,"Glass Thickness 1",.051,.054,.049,.005,.002,2.85,S2861,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",06/01/2024,500917,23Z033-1,"Glass Thickness 2",.112,.128,.102,.026,.009,.63,S2861,"CC 9",LS-1320,2302171,.090,.110,.130,.108,.120,.097,.044
"Glass Printing",06/01/2024,500917,23Z033-1,"Glass Thickness 2",.112,.128,.102,.026,.009,.63,S2861,"CC 9",LS-1320,2302171,.090,.110,.130,.108,.120,.097,.044
"Resin Printing",06/01/2024,1R0051-50,23Y006-1,"Resin Thickness 1 (Long)",.067,.080,.062,.018,.007,.91,S2122,"RE 5",X-43-8200-W10,311131,.046,.065,.085,.065,.070,.060,.020
"Resin Printing",06/01/2024,1R0051-50,23Y006-1,"Resin Thickness 1 (Short)",.082,.085,.080,.005,.002,3.92,S2122,"RE 5",X-43-8200-W10,311131,.060,.085,.111,.085,.095,.075,.026
"Resin Printing",06/01/2024,1R0051-50,23Y006-1,"Resin Thickness 2 (Long)",.105,.108,.103,.005,.002,6.01,S2122,"RE 5",X-43-8200-W10,311131,.074,.105,.137,.105,.110,.100,.032
"Resin Printing",06/01/2024,1R0051-50,23Y006-1,"Resin Thickness 2 (Short)",.154,.158,.151,.008,.003,5.51,S2122,"RE 5",X-43-8200-W10,311131,.109,.155,.202,.155,.165,.145,.047
"Resin Printing",06/01/2024,1R0051-50,23Y006-1,"Resin Thickness 3 (Long)",.149,.151,.149,.002,.001,20.00,S2122,"RE 5",X-43-8200-W10,311131,.105,.150,.195,.150,.155,.145,.045
"Resin Printing",06/01/2024,1R0051-50,23Y006-1,"Resin Thickness 3 (Short)",.228,.229,.227,.002,.001,9.10,S2122,"RE 5",X-43-8200-W10,311131,.210,.230,.250,.235,.230,.225,.040
"Resin Printing",06/01/2024,1R0051-50,23Y006-1,"Resin Thickness 4 (Long)",.189,.190,.189,.002,.001,32.24,S2122,"RE 5",X-43-8200-W10,311131,.133,.190,.247,.190,.200,.180,.057
"Resin Printing",06/01/2024,1R0051-50,23Y006-1,"Resin Thickness 5 (Long)",.229,.230,.228,.002,.001,6.89,S2122,"RE 5",X-43-8200-W10,311131,.210,.230,.250,.235,.230,.225,.040
"Resin Printing",06/01/2024,1R0006-50,23Z013-1,"Resin Thickness 1 (Long)",.047,.048,.045,.003,.001,4.74,S3310,"RE 3","TECHSEAL 8200-FC",310022,.033,.047,.061,.047,.052,.042,.014
"Resin Printing",06/01/2024,1R0006-50,23Z013-1,"Resin Thickness 1 (Short)",.045,.046,.044,.002,.001,5.89,S3310,"RE 3","TECHSEAL 8200-FC",310022,.032,.045,.059,.047,.050,.040,.014
"Resin Printing",06/01/2024,1R0006-50,23Z013-1,"Resin Thickness 2 (Short)",.082,.090,.077,.013,.005,.49,S3310,"RE 3","TECHSEAL 8200-FC",310022,.075,.085,.095,.080,.085,.075,.040
"Resin Printing",06/01/2024,1R0006-50,23Z013-1,"Resin Thickness 2 (Long)",.089,.090,.086,.004,.001,5.56,S3310,"RE 3","TECHSEAL 8200-FC",310022,.061,.087,.113,.087,.092,.082,.026
"Resin Printing",06/01/2024,1R0006-50,23Z013-1,"Resin Thickness 3 (Long)",.129,.131,.129,.002,.001,5.87,S3310,"RE 3","TECHSEAL 8200-FC",310022,.115,.135,.155,.130,.135,.125,.040
"Resin Printing",06/01/2024,1R0006-50,23Z013-1,"Resin Thickness 4 (Partial)",.140,.143,.139,.004,.002,2.21,S3310,"RE 3","TECHSEAL 8200-FC",310022,.130,.150,.170,.143,.148,.138,.040
"Glass Printing",06/01/2024,501243,23Z192-2,"Glass Thickness 1",.046,.047,.045,.002,.001,5.64,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",06/01/2024,501243,23Z192-2,"Glass Thickness 2",.086,.089,.084,.006,.002,2.78,S3350,"A 1",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",06/01/2024,501243,23Z192-2,"Glass Thickness 2",.086,.089,.084,.006,.002,2.78,S3350,"A 1",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",06/01/2024,501243,23Z192-2,"Pull Back",.003,.010,.000,.010,.004,.19,S3350,"A 1",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",06/01/2024,501243,23Z192-2,"Pull Back",.003,.010,.000,.010,.004,.19,S3350,"A 1",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",06/01/2024,501243,23Z194-0,"Pull Back",.004,.007,.000,.007,.003,.56,S3064,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",06/01/2024,501243,23Z194-0,"Glass Thickness 2",.085,.090,.081,.009,.002,1.95,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",06/01/2024,501243,23Z194-0,"Glass Thickness 1",.046,.049,.042,.007,.002,2.05,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",06/01/2024,501186,23Z006-1,"Glass Thickness 1",.046,.048,.045,.003,.001,3.81,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",06/01/2024,501186,23Z006-1,"Glass Thickness 2",.086,.089,.082,.007,.002,2.37,S3350,"A 1",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",06/01/2024,500917,23Z032-2,"Glass Thickness 2",.112,.125,.102,.023,.007,.89,S2861,"CC 9",LS-1320,2302171,.090,.110,.130,.108,.120,.097,.044
"Glass Printing",06/01/2024,500917,23Z032-2,"Glass Thickness 1",.053,.057,.051,.007,.002,2.15,S2861,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",06/01/2024,501243,23Z192-1,"Pull Back",.003,.010,.000,.010,.004,.19,S3350,"A 1",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",06/01/2024,501243,23Z192-1,"Glass Thickness 2",.085,.091,.082,.009,.003,1.90,S3350,"A 1",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",06/01/2024,501243,23Z192-1,"Glass Thickness 1",.046,.048,.044,.004,.001,3.49,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23ZI90-2,"Glass Thickness 1",.048,.050,.046,.004,.001,3.37,S2897,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23ZI90-2,"Glass Thickness 2",.090,.098,.084,.014,.004,1.32,S2897,"CC 10",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23ZI90-2,"Pull Back",.013,.024,.000,.024,.010,.42,S2897,"CC 10",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23ZI90-2,"Pull Back",.013,.024,.000,.024,.010,.42,S2897,"CC 10",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z193-0,"Glass Thickness 1",.043,.045,.043,.002,.001,5.20,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z193-0,"Glass Thickness 2",.084,.089,.080,.009,.003,1.44,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z193-0,"Pull Back",.003,.009,.000,.009,.004,.31,S3064,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z193-0,"Pull Back",.003,.009,.000,.009,.004,.31,S3064,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501075,23Z063-2,"Glass Thickness 1",.048,.052,.046,.006,.002,1.81,S2920,"CC 13",LS-1320/MK,2309221,.032,.045,.059,.045,.050,.040,.014
"Glass Printing",05/01/2024,501075,23Z063-2,"Glass Thickness 2",.072,.078,.067,.011,.004,1.61,S2920,"CC 13",LS-1320/MK,2309221,.055,.075,.095,.073,.085,.061,.031
"Glass Printing",05/01/2024,501075,23Z063-2,"Glass Thickness 2",.072,.078,.067,.011,.004,1.61,S2920,"CC 13",LS-1320/MK,2309221,.055,.075,.095,.073,.085,.061,.031
