Process,"Inspection Date",PN,LN,Item,Avg,Max,Min,Range,Std.,CPK,Result,Emp#,MC#,Material,"Material Lot",LSL,CSL,USL,XCL,XUCL,XLCL,RUCL
"Glass Printing",16-11-23,501243,Test,"Glass Thickness 1",.049,.053,.036,.017,.005,.67,failed,Test,"A 1",LS-1320,Test,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",14-11-23,501243,23X161-1,"Glass Thickness 1",.049,.050,.038,.012,.004,.91,pass,S3064,"A 2",LS-1320/MK,2305151,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",06-12-23,501243,200458-1,"Glass Thickness 1",.050,.052,.049,.003,.001,3.22,pass,S1111,"A 1",LS-1320,12R,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",08-12-23,501243,23Z012-0,"Glass Thickness 1",.043,.046,.041,.006,.002,2.13,pass,S1234,"A 1",LS-1320/MK,2308101,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",21-12-23,501243,23z897-0,"Glass Thickness 1",.047,.052,.043,.009,.003,1.22,pass,s2222,"A 1",LS-1320,sdfa,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",21-12-23,501243,23X897-0,"Glass Thickness 1",.043,.049,.037,.012,.003,1.08,pass,S2222,"A 1",LS-1320,6661,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",27-12-23,501243,23z138-2,"Glass Thickness 1",.043,.047,.040,.008,.002,1.53,pass,S0597,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",27-12-23,501243,23Z140-1,"Glass Thickness 1",.046,.048,.044,.004,.001,4.15,pass,S3309,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",28-12-23,501243,23Z140-2,"Glass Thickness 1",.046,.047,.044,.003,.001,3.95,pass,S0597,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",27-12-23,501243,23Z139-0,"Glass Thickness 1",.046,.048,.045,.004,.001,3.85,pass,S3309,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",28-12-23,501243,23Z138-1,"Glass Thickness 1",.046,.049,.044,.005,.002,2.59,pass,S0165,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",28-12-23,501243,23z146-2,"Glass Thickness 1",.046,.050,.043,.007,.002,2.13,pass,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",28-12-23,501243,23Z147-2,"Glass Thickness 1",.044,.048,.040,.008,.003,1.34,pass,S3350,"A 1",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",28-12-23,501243,23Z149-1,"Glass Thickness 1",.046,.050,.036,.014,.004,1.20,pass,S2897,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",28-12-23,501243,23Z150-1,"Glass Thickness 1",.044,.045,.042,.003,.001,4.55,pass,S3046,"CC 5",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
