pn_no,process_code,measure_lot,item_code,0,,,data,NG020402,measure_emp
600343,92120,sdg,1A01,0,,,3.084,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,3.099,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,3.092,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,3.099,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,3.097,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,3.095,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,3.104,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,3.096,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,3.096,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,3.106,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,3.097,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,3.082,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,3.117,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,2.386,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,2.400,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,2.397,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,2.400,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,2.400,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,2.395,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,2.400,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,2.395,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,2.396,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,2.409,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,2.403,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,2.390,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,2.409,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.251,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.249,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.249,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.247,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.251,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.251,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.248,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.247,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.254,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.251,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.247,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.246,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.245,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.245,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.244,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.257,NG020402,s00fdg
600343,92120,sdg,1A01,0,,,.257,NG020402,s00fdg
